id	multiplicon	genome	list	first	last	order
80	35	genome	Scaffold_1	jg4438.t1	jg4442.t1	0
81	35	genome	Scaffold_1	jg3706.t2	jg3708.t1	1
82	36	genome	Scaffold_4	jg16900.t1	jg16907.t1	0
83	36	genome	Scaffold_2	jg21055.t1	jg21061.t1	1
84	37	genome	Scaffold_5_Vmt	jg7117.t1	jg7125.t1	0
85	37	genome	Scaffold_4	jg18510.t1	jg18518.t1	1
86	38	genome	Scaffold_2	jg19490.t1	jg19501.t1	0
87	38	genome	Scaffold_1	jg5571.t1	jg5582.t1	1
88	39	genome	Scaffold_7	jg1432.t1	jg1440.t1	0
89	39	genome	Scaffold_3	jg12007.t1	jg12018.t1	1
90	40	genome	Scaffold_3	jg12976.t1	jg12981.t1	0
91	40	genome	Scaffold_1	jg2326.t1	jg2335.t1	1
92	41	genome	Scaffold_3	jg10697.t1	jg10706.t1	0
93	41	genome	Scaffold_1	jg5561.t1	jg5572.t1	1
94	42	genome	Scaffold_5_Vmt	jg7581.t1	jg7588.t1	0
95	42	genome	Scaffold_3	jg11444.t1	jg11450.t1	1
96	43	genome	Scaffold_7	jg1533.t1	jg1544.t1	0
97	43	genome	Scaffold_6	jg14738.t1	jg14745.t1	1
98	44	genome	Scaffold_4	jg16569.t1	jg16577.t1	0
99	44	genome	Scaffold_3	jg10345.t1	jg10354.t1	1
100	45	genome	Scaffold_4	jg16720.t1	jg16736.t1	0
101	45	genome	Scaffold_2	jg22016.t1	jg22019.t1	1
102	46	genome	Scaffold_4	jg15990.t1	jg16000.t1	0
103	46	genome	Scaffold_1	jg5773.t1	jg5786.t1	1
104	47	genome	Scaffold_4	jg16916.t1	jg16926.t1	0
105	47	genome	Scaffold_2	jg21420.t1	jg21422.t1	1
106	48	genome	Scaffold_4	jg15989.t1	jg16000.t1	0
107	48	genome	Scaffold_1	jg2961.t1	jg2966.t1	1
108	49	genome	Scaffold_3	jg9826.t1	jg9835.t1	0
109	49	genome	Scaffold_2	jg22716.t1	jg22727.t1	1
110	50	genome	Scaffold_2	jg21034.t1	jg21038.t1	0
111	50	genome	Scaffold_1	jg5436.t1	jg5446.t1	1
112	51	genome	Scaffold_5_Vmt	jg7059.t1	jg7070.t1	0
113	51	genome	Scaffold_2	jg22937.t1	jg22949.t1	1
114	52	genome	Scaffold_4	jg16735.t1	jg16755.t1	0
115	52	genome	Scaffold_1	jg3340.t1	jg3354.t1	1
116	53	genome	Scaffold_4	jg16681.t1	jg16699.t1	0
117	53	genome	Scaffold_3	jg11258.t1	jg11277.t1	1
118	54	genome	Scaffold_5_Vmt	jg7960.t1	jg7976.t1	0
119	54	genome	Scaffold_4	jg18464.t1	jg18473.t1	1
120	55	genome	Scaffold_1	jg4712.t1	jg4730.t1	0
121	55	genome	Scaffold_1	jg2954.t2	jg2966.t1	1
122	56	genome	Scaffold_7	jg1541.t1	jg1550.t1	0
123	56	genome	Scaffold_4	jg17287.t1	jg17305.t1	1
124	57	genome	Scaffold_3	jg11217.t1	jg11242.t1	0
125	57	genome	Scaffold_2	jg21306.t1	jg21319.t1	1
126	58	genome	Scaffold_2	jg20294.t1	jg20311.t1	0
127	58	genome	Scaffold_1	jg3231.t1	jg3238.t1	1
128	59	genome	Scaffold_1	jg5629.t1	jg5647.t2	0
129	59	genome	Scaffold_1	jg4927.t1	jg4939.t1	1
130	60	genome	Scaffold_1	jg5484.t1	jg5497.t1	0
131	60	genome	Scaffold_1	jg4922.t1	jg4941.t1	1
132	61	genome	Scaffold_2	jg20233.t1	jg20255.t1	0
133	61	genome	Scaffold_1	jg3336.t1	jg3354.t1	1
134	62	genome	Scaffold_4	jg15998.t1	jg16013.t1	0
135	62	genome	Scaffold_3	jg10243.t1	jg10246.t1	1
136	63	genome	Scaffold_6	jg14092.t1	jg14109.t1	0
137	63	genome	Scaffold_5_Vmt	jg9209.t1	jg9218.t1	1
138	64	genome	Scaffold_4	jg15983.t1	jg16000.t1	0
139	64	genome	Scaffold_1	jg4651.t1	jg4670.t1	1
140	65	genome	Scaffold_1	jg4700.t1	jg4730.t1	0
141	65	genome	Scaffold_1	jg3614.t1	jg3639.t1	1
142	66	genome	Scaffold_6	jg13796.t1	jg13805.t1	0
143	66	genome	Scaffold_5_Vmt	jg8506.t1	jg8526.t1	1
144	67	genome	Scaffold_5_Vmt	jg7022.t1	jg7035.t1	0
145	67	genome	Scaffold_4	jg18666.t1	jg18695.t1	1
146	68	genome	Scaffold_1	jg6262.t1	jg6283.t1	0
147	68	genome	Scaffold_1	jg4983.t1	jg5002.t1	1
148	69	genome	Scaffold_6	jg13609.t2	jg13624.t1	0
149	69	genome	Scaffold_5_Vmt	jg8959.t1	jg8986.t1	1
